store_id,store_category,barcode,raw_name,gold_label
S0356,한식,M243764,닭갈비,닭갈비
S0424,한식,,★순대국밥★ 500ml,순대국밥
S1862,카페,,고구마 라떼,고구마라떼
S1537,한식,,(본점) ♥돌솥비빔밥♥,돌솥비빔밥
S1507,한식,,아구 찜 세트,아구찜
S0625,중식,,홍대점 양장피,양장피
S1632,한식,,♥아구찜 (매운맛)♥,아구찜
S1703,한식,,▶돌솥비빔밥◀,돌솥비빔밥
S1792,분식,,군고구마,군고구마
S0073,한식,,아구찜,아구찜
S1880,일식,,(본점) ♥카레돈가스♥,카레돈가스
S0143,한식,,족발,족발
S0930,카페,,망고스무디,망고스무디
S1105,한식,,아구찜 1인분 ♡추천♡,아구찜
S1264,버거,,새우버거,새우버거
S0899,중식,8808772945763,삼각김밥 참치마요,NOT_TARGET
S1429,일식,,김치우동,김치우동
S0732,한식,,돌솥비 빔밥 350g,돌솥비빔밥
S1502,한식,,닭갈비 단품,닭갈비
S1538,카페,,딸기라떼 350g,딸기라떼
S0725,한식,M443942,족발,족발
S0632,양식,M843322,페퍼로니피자,페퍼로니피자
S0923,중식,,[강남점] 양장피 (BEST),양장피
S0672,한식,,김치찌개 1인분,김치찌개
S1876,한식,8805722482644,삼다수 2L,NOT_TARGET
S0223,한식,,아구찜,아구찜
S1455,한식,8809332414200,칠성사이다,NOT_TARGET
S0647,카페,,망고스 무디,망고스무디
S0651,한식,,아구찜세트 1L,아구찜
S1304,한식,,아구찜!!,아구찜
S0788,일식,,(본점) 돈코츠라멘 라지 ♡추천♡,돈코츠라멘
S0352,간식,,도넛,도넛
S1893,한식,,(본점) 김치볶음밥 350g,김치볶음밥
S1203,분식,,군고구마,군고구마
S0724,한식,,아구찜 세트,아구찜
S0430,양식,8805413602801,신라면,NOT_TARGET
S1042,분식,,♥군고구마♥,군고구마
S0064,카페,,아이스아인슈페너 단품,아인슈페너
S0419,일식,8800349059897,박카스F,NOT_TARGET
S0340,한식,,닭발,닭발
S0062,분식,,라볶이,라볶이
S1178,한식,,순두 부찌개,순두부찌개
S1446,중식,,양장피,양장피
S0207,한식,,홍대점 돌솥비빔밥,돌솥비빔밥
S0904,버거,,새우버거,새우버거
S0010,분식,M076701,떡볶이,떡볶이
S1927,한식,M729416,순두부찌개 (BEST),순두부찌개
S0132,한식,,곱창 세트,곱창
S0923,중식,,양장피 1 +1,양장피
S1768,한식,,갈비탕 1L,갈비탕
S0777,카페,M045114,☆신메뉴☆ 밀크티,밀크티
S1069,한식,M288781,☆아구찜☆,아구찜
S0723,분식,,순대,순대
S1886,한식,,돌솥비빔밥 ( 2인),돌솥비빔밥
S0565,중식,,(본점 ) 양장피 주문폭주 500ml,양장피
S1137,분식,,떡볶이,떡볶이
S1241,분식,,군고구마 1인분,군고구마
S1805,양식,M168873,함박스테이크,함박스테이크
S1843,버거,,새우버거!!,새우버거
S1602,한식,,아구찜,아구찜
S1644,한식,,물회,물회
S0747,한식,,아구찜 라지,아구찜
S1455,분식,,타코야키 ♡추천♡,타코야키
S1100,한식,,아구찜,아구찜
S0686,버거,,★새우버거 +치즈추가★,새우버거
S0877,치킨,,후라이드치킨,후라이드치킨
S1420,한식,,아구찜,아구찜
S0031,양식,M667942,알리오올리오,알리오올리오
S1745,중식,,양장피,양장피
S1958,한식,M264711,돼지국밥 주문폭주,돼지국밥
S0552,중식,,☆ 신메뉴☆ 양장피,양장피
S1457,간식,,당근케이크 ♡추천♡,당근케이크
S1477,양식,M690401,로제파스타 주문폭주,로제파스타
S1459,한식,,아구찜,아구찜
S1026,일식,,연어초밥 +치즈추가 ♡추천♡,연어초밥
S1278,양식,,알리오올리오,알리오올리오
S1950,분식,,로제떡볶이,로제떡볶이
S0882,한식,,닭발 ♡ 추천♡,닭발
S0015,한식,M721836,물회,물회
S1033,중식,,양장피,양장피
S1575,한식,,아구찜!! 1L,아구찜
S0719,한식,,아구찜 ♡추천♡,아구찜
S0680,한식,,아구찜,아구찜
S1917,한식,,돼 지국밥,돼지국밥
S0374,한식,8803009000154,바나나맛우유,NOT_TARGET
S1654,한식,,김치찌개,김치찌개
S1562,카페,,홍대점 HOT 자몽에이드,자몽에이드
S1530,카페,,복숭아아이스티,복숭아아이스티
S1218,분식,,참치gimbap 셋트,참치김밥
S1921,카페,,흑당버블티 1L,흑당버블티
S0669,치킨,,[강남점] ♥순살치킨 +사리추가♥,순살치킨
S0430,한식,,아구찜,아구찜
S1139,간식,,☆신메뉴☆ 크루아상,크루아상
S0573,간식,,도넛!!,도넛
S1057,분식,M581838,붕어빵,붕어빵
S1596,카페,,아이스 망 고스무디 단품 350g,망고스무디
S1374,중식,,★양장피★,양장피
S1605,분식,8808105159355,진라면 매운맛,NOT_TARGET
S1616,한식,,아구찜,아구찜
S0209,일식,8804730345620,초코파이,NOT_TARGET
S1220,한식,,♥돼지국밥♥,돼지국밥
S0085,한식,M435985,[강남점] 비빔밥,비빔밥
S0382,버거,,치킨버거,치킨버거
S1405,치킨,8801854755397,포카칩 오리지널,NOT_TARGET
S1938,한식,,돌솥비빔밥,돌솥비빔밥
S1179,중식,M618660,양 장피!!,양장피
S0280,카페,,아메리카노,아메리카노
S0570,한식,,아구찜 +사리추가,아구찜
S1370,마트,8803671404236,삼다수 2L,NOT_TARGET
S0913,한식,,돼지국밥 라지,돼지국밥
S1030,한식,,아구찜,아구찜
S1072,분식,,tteokbokki,떡볶이
S0293,한식,,아구찜 (BEST),아구찜
S0847,한식,,닭발,닭발
S0806,한식,,아구찜,아구찜
S0783,카페,,망고스무디 (BEST),망고스무디
S0989,카페,M226311,캐모마일티 (BEST),캐모마일티
S0146,마트,8802091723286,초코파이,NOT_TARGET
S0065,한식,,아구찜 (BEST),아구찜
